agent,customer
"Good afternoon Rivertown Insurance, this is Betty, speaking, how can I be of service to you?",Can you help me me to reset my password
"Sure, yes I can help you with any update. first could you get me your full name also with your policy number please?","#Oh sure, I've got it right here with me."
"Nice, we can proceed from there.",Just a moment.
"Sure, take your time Ma.",#let me roundoff a conversation with my laundry guy in order to delivere my cloth.
"#oh, sure you can take your time.","Perfect, you ready?"
"Sure ready, go on.",my name is Albert Teresa.
"Okay mister Teresa, If am not mistaken?","#Um, it's okay."
That's no problem.,Could you help me with your policy number?
"#mhm, i have it right here.",#mhm I've got that right here.
Perfect.,Let me call it for you four six four one six nine four nine five.
"Okay, let me repeat that back to you, four six four one six nine four nine five?","#Uh, great."
One more time please.,four six four one six nine four nine five.
"Okay, thank you mister Teresa, hold on am on your account.",its fine.
"Okay, one last thing, could you please verify your pet name for me please?","#Oh, yes Jacky."
"One last thing please, the last six digits of your social security number?",eight five one four nine four.
"#oh, that's awesome.",yeah.
Very good Ma.,Awesome.
"Not a problem, I have that updated for you. What else shouId i help you with?","yeah, I will like to reset my password?"
Very possible Ma.,Can I have your email please?
That's wouldn't be an issue.,Do you mind if we proceed?
Not at all.,let me get my glasses.
Take your time.,#here we go.
#Okay.,#yep it's Teresa at gmail dot com.
Got it right.,Okay.
I would like to confirm it one more time.,"that's okay, here we go."
Teresa at gmail dot com.,Okay.
I will send your verification code to your email.,I will appreciate that a lot.
I am on it just a moment.,Alright.
I'm good.,"You should have the verification code on your email now, please check."
#yeah it just came in now.,What should I do with that?
click to verify the account.,Done.
Great!,Verified.
Go to change my password.,#mhm finding it difficult to see on the account.
#mhm it's right at the top right corner.,It just got in now.
Use a default password of two two four two.,done already miss.
Done that.,Set a new password for it.
Okay doing that right away.,kindly simplify it so you can remember.
"Okay, doing that.",Great.
Kindly login into your account with your username and new password.,#oh Okay.
"My pleasure, mister Teresa your password is rectified now ma'am.","To be honest, I enjoyed my conversion with you."
Awesome.,Great.
thanks.,mister Teresa is there anything I can help you with?
Not at all miss.,Checking through my account now.
"No problem, is there anything else I can help you with from the account?","No miss, I think that covers it for now. I really appreciate all your help."
"Oh, my pleasure mister Teresa If you have any further questions please do not hesitate to call, okay?","Okay, awesome."
Thank you for being a valued customer of Rivertown Insurance. Enjoy the rest of your evening!,"#mhm, you have made my day today."
That is the reason we are here to serve you better.,Thank you.
Thank your Ma.,Thanks for your time.
You are welcome MA.,Okay bye bye..
