agent,customer
"Good afternoon Rivertown Insurance, this is Frank speaking, how can I help you?",Good afternoon Frank. My name Is Kylie.
Good to you have you here. How can I help you?,I've difficulty loging in on my account.
if am not mistaken. You mean find it difficult to log in to you insurance account.,that is right.
We are sorry about that. I would be glad to reset that for you.,I have been facing the challenges for quite sometime but I was to occupied to lay my complaint.
So sorry about that Ma.,Alright.
May I have your policy number please?,One minute please. I need to get my folder.
That's no problem.,Few seconds please.
Please take your time Ma.,are you there?
I am with you Ma.,"#Yep I've got that right here, you ready?"
Yes miss Kylie. Could you provide me with your policy number?,Three nine three four two five one one four.
"Okay, let me repeat that back to you, three nine three four two five one four?",You missed a one.
Few seconds please.,Alright no problem.
-oh sorry for the break. One more time please.,Five nine three four two five one one four.
"Okay, missus Kylie I got it now.",No problem .
Trying to go through your account.,Alright. I'm with you.
Can I have your full name please?,My name is Kylie White.
-oh very good. Thank you.,(laughter).
"Okay missus Kylie, I don't mind you spelling your last name?","#huh, okay. W.h.i.t.e."
I'm on you account. Working on it.,No problem. I'm with you.
when was the last time you logged in to your account.,One second please. Trying to find out.
Alright Ma.,I couldn't get that. It been a while.
Thats no problem ma. Still on your account.,Thank you Frank.
what is the response you get when trying to log in to your account.,wrong password or username.
okay. Working on that.,I am with you please.
Can I have your mother's maiden name?,yes please. Jones.
Can I have the username you use when trying to log in?,kyliewhite at Rivertowninsurance dot com.
One second please. Trying to find out.,The username was email to me immediately I signed in for the policy.
Alright Ma.,pIease confirm if the username was correct.
I will do just that.,"Alright, I am with you."
Found out the username is absolutely correct. Still working on your account Ma.,-huh relieved.
That shows the password you have is incorrect Ma.,That's right.
And the last four digits of your social security number?,Two four one four.
"-huh pretty good. Okay, let me go ahead and reset your password.",Good. I would be glad.
Three seconds please.,Take your time Frank.
Yes ma.,Waiting patiently to have access to my accont again.
Thanks for the patience.,My pleasure.
Would like me to reset the passward from here or send the password link to your email.,I would like you to reset the password from here.
I would be glad to help you Ma.,thanks.
Still working on reseting your password ma.,Oh yes. You're doing a great job.
Your password has been reset sucessfully.,Wow glad to have my account back.
Your new password is AAXXthree two ADGfive.,oh yes. You're doing a great job. Thank you.
My pleasure. Anything for our loyal customer .,(laughing).
(laughter) sorry for asking much questions.,It is necessary. it's your job.
awesome. thanks for the understanding.,It alright?
You can now log in to your account to change the password to your choice.,Thank you. I will do just that.
Is there anything else I could help you with today?,"As a matter of fact, while I've got you on the line."
Yes Ma?,Could you send some information about your pet insurance policy to my email.
"Sure, that is no problem. I would be glad to do that for you..",Thanks for time.
It's my pleasure. okay May I have your email.,"Yeah sure, great."
Alright. Ma.,You can send it to my email kylieW at yahoo dot com.
I would do that right away ma.,Awesome.Thanks.
My pleasure. It there anything I can help you with.,#mhm I'm okay Thank you.
Thank you for being a esteemed customer of Rivertown Insurance. Enjoy the rest of your afternoon!,-hun you too.
Awesome.,"#whao, thanks."
Bye.,Thank you bye.
