agent,customer
Hello and thank you for calling Rivertown Insurance. How may I assist you today?,Yeah I think I'm locked out of my online account I keep trying to log in and it says too many invalid attempts.
I can definitely assist with that. I lock myself out of my account frequently .,Well practice makes perfect right?
Exactly.,I kept trying but I guess I just can't remember the password.
That's okay we can reset it together.,Great.
May I have your first and last name please?,It's Kasey Jones.
"Thank you, Kasey. Do you happen to know your customer number?",I don't I'm sorry. I usually get it from the online site but I'm locked out.
That's okay. We can look you up a different way.,Awesome.
May I have your social and date of birth?,My social is four two four three two four seven six two.
Great. Thank you and your date of birth?,It's October second nineteen ninety one.
Perfect. What is the phone number associated with your account?,It's gonna be two five one three six three four nine eight two or four nine eight three. I'm not sure which one you have.
We have four nine eight two listed. Is that still valid?,Yes it is.
Great and for security purposes can you verify your mother's maiden name?,Yes it's Jeffries.
Perfect. We have your email as Kasey underscore Jones at gmail dot com. Is that still accurate?,Yes it is.
Great so Kasey I've gone ahead and unlocked your account and sent you an email that will allow you to change that password.,Okay awesome.
Can you confirm that you got the email?,Yes hang on and let me check.
Take your time.,Alright I've opened the page.
Great. Is it prompting you to create a new password now?,Yes.
"Perfect remember the new password has to have at least one capital letter, a number, and a symbol.",Okay.
Any issues so far?,No everything is going smoothly.
Great.,Okay it looks like I was able to fully change it.
Perfect. Now let's navigate back to the home page so we can try to log in again.,Okay.
Let me know when you're there.,Okay I'm back at the homepage.
"Great, now let's try to log in using that new password.",Okay 
Let me know if it gives you any issues.,It looks like it's let me in!
Great!,Thank you so much.
You are very welcome keep in mind that you can always unlock your account and change your password using the forgot your password link on the site.,Okay cool.
Was there anything else I could do for you today?,No I think that was everything.
Great. Enjoy the rest of your day!,You too.
Goodbye.,Bye.
