agent,customer
"Good morning Rivertown Insurance, this is Ben speaking, how can I help you?",Help me to solve my last name spelling issue
"Okay, yes I can help you. that's why we are here to serve you better.","Sure, thanks."
To start with can I kindly request your name.,just let me get my glasses one moment.
"That's no problem, I understand better.",Getting older everyday you know.
"Yes sir, aren't we all?","Okay, you ready?"
"Yes sir, you can proceed.",my name is Henry Jackson.
"Okay mister Jackson, can you spell your last name for me please?",J.a.c.k.s.o.n. I think it is misspelled on my account though.
"That's no problem Mr.Jackson, I will be glad to correct that for you straight away just give me one second to find your account.",Sure.
Could you provide me with your policy number?,"#mhm I've got that right here, you ready with it?"
Yes sir.,Two nine three nine two three eight one two.
"Okay, let me repeat that back to you, two nine three nine two three eight one two?",Very correct.
-oh one more time please.,two nine three nine two three eight one two.
"Okay, thank you mister Jackson. I got it that time, sorry about that wanna verify.",No problem .
"Okay, one last thing, could you please verify your mother's maiden name for me please?","Sure, Charles."
And the last four digits of your social security number Sir?,Three four one two.
"-huh good. Okay, let me go ahead and update your last name real quick, one second.",sure.
"Just to verify, you said it should be Jackson instead of Jacksson.?","That's correct, Sir."
"Not a problem, I have that updated for you. What else could I help you with today?","yeah, I had a few questions about a Petcare policy. You offer that right?"
"Yes sir, we do.","Okay, right so I've got an automobile policy with you now and I have decided to add my pet to my insurance package."
That's great news.,"I've had the same policy for years and it never hurts to look around once in awhile, right? ."
Thats right. .,Need clarity.
Yes sir. .,.
Let me get it detailed for you.,"No problem, I was looking at your plans online and thought it would be great to have it all in one place."
"We appreciate your business, so do you know which policy you would be interested in checking?","so sure.I wrote it down, let me find it where I kept it. Found it."
Take your time.,not to organized in the Morning thou. .
"I completely understand, believe me.","Okay, okay, I know am on complete auto if I'm not mistaken."
"That's correct, great choice Mr.Jackson.",Seemed the best option for me.
"Yes sir, okay the annual premium for a complete auto policy is be two thousand dollars per year.and also our pet care is namely petcare package for five hundred dollars and pet care preferred for one thousand dollars.",Okay.
"This policy includes our highest coverage and lowest deductibles, it's a great policy.","Wow, really? #jeez that's a good bit lower than what I've been paying annually."
That's great.,I should've shopped around years ago but I have a tendancy to let time get away from me.
I'm right there with you. .,Getting older everyday .
everyone is also.,"I got you off track, sorry about that, go ahead. ."
"No problem, okay mister Jackson I'm glad to hear we might be able to help you save some money.",#mhm every little bit helps these days.
"Yes sir, it does. #huh.",So do you think you could email me that policy strategies if I give you my email address right away?
"Sure, I would be happy to do that for you, proceed.","Okay, it is jacksonhenry at yahoo dot com."
"Got it, easy enough.",I just wish I had made a shorter email address years ago. .
"We all make that mistake, don't we?",you learn everyday I guess?
Good point. Okay I've got that together for you and I will get it sent right over to you.,Great.
"Consider it done. If you have any questions or need more information, you just call me or email me back at that address.","#oh Okay, that sounds great."
"My pleasure, mister Jackson. Anything for our loyal customers. Was there anything else I could help you with this morning?","As a matter of fact, you have made my day."
"#whew, happy to hear that.",Could you tell me when my auto policy premium is due?
"Sure, that is no problem. one second.","Sure, thanks for all your help."
"It's my pleasure. okay that would be February fourteen, I could attach a copy to the email as well, if you would like?","Yeah sure, that true i remembered it's Valentine day."
"Beautiful sir, is there anything else I can help you with this morning?","No sir, I think that covers it for now."
Thats great.,Thanks for you do today.
Thank you for being a valued customer of Rivertown Insurance. Enjoy the rest of your afternoon!,"#whew, thanks for putting me through."
We are always here to serve you better sir.,"Thank you, Bye."
Bye Bye.,Thank you.
