agent,customer
"Good afternoon Rivertown Insurance, this is Alice speaking, how can I help you?","Hello, I want to reset my online account password."
"Okay, yes I can help you. may I get your first name and your last name please?",yeah.
That's good.,one moment.
"That's no problem, I understand.",I have many folders on my desk.
take your time sir.,"Okay, you ready?"
"Yes sir, go ahead.",my name is Rowley Augustine.
"Thank you Rowley Augustine, just to confirm is Augustin spelled A.u.g.u.s.t.i.n.?",#oh gosh it is Augustine.
Okay Sir.,That's fine.
To reset your password could you provide me your policy number?,just a minute. let me look for it.
That's no problem.,Three four two five one one two five six.
"Okay, let me repeat that back to you, five one one twoThree four two six.",You missed a five.
-oh one more time please.,five one one twoThree four two five six.
"Okay, mister Augustine i got it now.",. No problem.
Alright. Could I get your old password?,Sure.
Take your time.,four four one two two Twenty two.
"-oh very good. Okay, let me go ahead and update your old password quick, give me one second.",sure.
Okay. may I get the new password to reset your online account?,"#huh, just a moment."
okay.,"yeah, the new code is five six four four eight two nine."
"Alright. just for confirmation, five six four four eight nine.","sorry, you missed a two."
#oh gosh let me repeat it five six four four eight two nine.,#huh that's correct.
Please confirm the reset password?,"Yes, I confirm to reset my online account password."
That's no problem mister Augustine.,That's great.
Alright. Before I proceed to reset your password may I know the reason why you are resetting?,oh I want a coded password for my account for security reasons.
"Thank you for the info, sir.","Eh, can we just go ahead and reset the password? I.... don't have time to explain that much."
just give me a minute.,okay.
"Okay. Please hang on sir, I will proceed to reset your password in the system.","yeah, sure."
Okay done. Your password has been reset.,Wow! really that's good.
. Yeah.,Yeah.
Alright. is there anything I can help you with?,"#huh, I had a few questions about homeowner 's policy. You offer that right?"
"Yes, we do.",That's good.
"Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.",That's great news.
"I've had the same policy for years and it never hurts to look around once in awhile, right? .",Still checking through now.
"No problem, okay mister Augustine. I'm glad to hear we might be able to help you save some money.",#huh you think so?
"Yes sir, #huh.",So do you think you could email me all the plans of your current policies if I give you my email address?
"Yep, I would be delightful to do that, lets go ahead sir.","Okay, it is rowleyaugustine at gmail dot com."
"Got it, very easy enough.",Thank God I had made a shorter email address years ago. .
for easy remembrance right?,That's right.
Okay I've got that together for you and I will get it sent right over to you.,Great.
"Consider it done. If you have any questions or need more information, you just call me or email me back at that address.","#oh Okay, thats good."
"My pleasure, mister Augustine. Anything for our loyal customers.is there anything else I could help you with today?","As a matter of fact, while I've got you on the line."
Yes sir?,Could you tell me when my auto policy premium is due?
"Sure, that is no problem. just a minute.","Sure, thanks for all your time and understanding."
"It's my pleasure. okay that would be March twenty seven, I could attach a copy to the email as well, if you don't mind?","Yeah sure, great."
"No problem, is there anything else I can help you with this afternoon?","No ma'am, I think that covers it for now. I really appreciate all your help."
"Oh gosh, my pleasure mister Augustine. If you have any further questions please do not draw back to relate it to me, okay?",Great.
Thank you for being a good customer of Rivertown Insurance. Enjoy the rest of your afternoon!,"#mhm You do the same, thanks again."
Thank you for your time.,Today has been successful for me.
That's great.,"#whao, thanks."
Bye.,Thank you bye.
